Filename,ID,Title,Catalogue entry BBC YP,Genre,Height,Width,Area,Materials,Collection,image_width ,image_height ,image_height/image_width 
067.jpg,67,Dark Hills across the Water,1950-1970,Landscape,50.5,91.5,4620.75,oil on canvas,NLW,944,525,0.5561
068.jpg,68,"Dark Mountains, Blue Sky",1950-1970,Landscape,76,152.5,11590,oil on canvas,NLW,944,475,0.5032
069.jpg,69,"Dark Mountains, Eryri",1970-1990,Landscape,70.7,91.2,6447.84,oil on canvas,NLW,944,743,0.7871
070.jpg,70,Dead Hare in Brown Paper,1940-1950,Still life,50.7,68.3,3462.81,oil on canvas,NLW,944,708,0.75
071.jpg,71,Deposition,1960-1970,Genre,76,152.6,11597.6,oil on canvas,NLW,944,472,0.5
072.jpg,72,Deposition,n.d.,Genre,22,32.5,715,oil on board,Glynn Vivian Art Gallery,944,643,0.6811
073.jpg,73,"Deserted Farm, Llanrhuddlad",1970,Landscape,51,61,3111,oil on canvas,Southend Museum Collection,944,831,0.8803
074.jpg,74,Dolwyddelan Castle,1985,Landscape,75,75,5625,oil on canvas,NLW,939,944,1.0053
075.jpg,75,Dr Alun Oldfield Davies,1970,Portrait,121.5,91.5,11117.25,oil on canvas,NLW,712,944,1.3258
076.jpg,76,Dr Llywellyn Wyn Griffith (1890-1977),1960-1979,Portrait,90,70,6300,oil on canvas,NLW,735,944,1.2844
077.jpg,77,Drwsycoed,n.d.,Landscape,49.7,59.8,2972.06,oil on canvas,Merthyr Tydfil Museum Service,944,780,0.8263
078.jpg,78,"Duffryncamwy, Patagonia",1969,Landscape,121.3,121.3,14713.69,oil on canvas,NMGW,800,787,0.9838
079.jpg,79,Dusk in the Mountains,1940-1960,Landscape,22,42.5,935,oil on hardboard,NLW,944,492,0.5212
080.jpg,80,"Dyfryn, Cesarea",n.d.,Landscape,74,126,9324,oil on canvas,BU,944,575,0.6091
081.jpg,81,Eryri,1960-1970,Landscape,40.8,50.8,2072.64,oil on canvas,NLW,944,769,0.8146
082.jpg,82,Eryri (Snowdon),n.d.,Landscape,38.8,76.4,2964.32,oil on canvas,Glynn Vivian Art Gallery,944,463,0.4905
083.jpg,83,Euros Hughes Irrigating his Fields,1969,Landscape,50,50,2500,oil on canvas,NLW,944,923,0.9778
084.jpg,84,Evan Roberts (1909-1991),1990,Portrait,72,72,5184,oil on canvas,OYM,904,944,1.0442
085.jpg,85,Farm at Cesarae,n.d.,Landscape,65,93,6045,oil on canvas,BBC,944,626,0.6631
086.jpg,86,Farm behind Harlech,n.d.,Landscape,29,75,2175,oil on canvas,Amgueddfa Ceredigion Museum,944,650,0.6886
087.jpg,87,Farm below Crib Goch,1967,Landscape,122,183,22326,oil on canvas,GAC,944,626,0.6631
088.jpg,88,"Farm Building, Eryri",1970-1990,Landscape,50.5,75.7,3822.85,oil on canvas,NLW,944,642,0.6801
089.jpg,89,Farm Buildings,1960-1970,Landscape,40.5,51,2065.5,oil on canvas,NLW,944,756,0.8008
090.jpg,90,Farm Ceserea,n.d.,Landscape,50,111.5,5575,oil on canvas,OYM,944,279,0.2956
091.jpg,91,Farm Eryri,1970-1990,Landscape,61.3,50.8,3114.04,oil on canvas,NLW,789,944,1.1965
092.jpg,92,"Farm, Llanddona",1958,Landscape,51.8,62,3211.6,oil on canvas,OYM,944,748,0.7924
093.jpg,93,"Farm, Llanfairynghornwy",1975,Landscape,39.5,49.9,1971.05,oil on canvas,NLW,944,742,0.786
094.jpg,94,Farm near Nanhoron,1970-1990,Landscape,60.7,76.3,4631.41,oil on canvas,NLW,944,763,0.8083
095..jpg,95,Farmer Amongst the Rocks,1990-2006,Landscape,60.7,91,5523.7,oil on canvas,NLW,944,632,0.6695
096.jpg,96,Farmer and Cattle,1957,Landscape,58.5,128.7,7528.95,oil on canvas,OYM,944,371,0.393
097.jpg,97,Farmer and Cottages ,1940-1950,Landscape,61,50.7,3092.7,oil on canvas,NLW,794,944,1.1889
098.jpg,98,Farmer and Dog Climbing a Rocky Path,1950-1960,Landscape,50.6,65.7,3324.42,oil on canvas,NLW,944,732,0.7754
099.jpg,99,Faarmer and Dog in the Moutnains,1950-1970,Landscape,61.2,77.7,4755.24,oil on canvas,NLW,944,763,0.8083
100.jpg,100,Farmer at Dusk,1970-1990,Landscape,68.3,50.7,3462.81,oil on canvas,NLW,703,944,1.3428
101.jpg,101,Farmer in Eryri,1970-1990,Landscape,50.7,60.7,3077.49,oil on canvas,NLW,944,794,0.8411
102.jpg,102,Farmer on the Mountain,1984-1990,Landscape,91.4,121.7,11123.38,oil on canvas,NLW,944,721,0.7638
103.jpg,103,Farmer on the Mountains,n.d.,Landscape,90.1,119.8,10793.98,oil on canvas,BU,944,706,0.7479
104.jpg,104,Farmer with Following Dog,1990-2006,Landscape,60.8,61,3708.8,oil on canvas,NLW,944,942,0.9979
105.jpg,105,Farmer below the Ridge,1983,Landscape,122.5,92.8,11368,oil on canvas,OYM,562,944,1.6797
106.jpg,106,"Farmers, Cwm Nantlle",1947,Landscape,51.2,61.2,3133.44,oil on canvas,NMGW,800,667,0.8338
107.jpg,107,Farmers on the Carneddau,1980,Landscape,121.7,183,22271.1,oil on canvas,NLW,800,528,0.66
108.jpg,108,Farmers on the Moelwyns; Llwybr Iddew Mawr,1970,Landscape,121,182,22022,oil on canvas,NLW,944,616,0.6525
109.jpg,109,Farmhouse on the Horizon in Rugged Land,1960-1970,Landscape,61,91.8,5599.8,oil on canvas,NLW,944,630,0.6674
110.jpg,110,"Farms, Porth Dafarch No.1",1977,Landscape,91,91,8281,oil on canvas,GAC,944,941,0.9968
111.jpg,111,"Fedw, Penrhosllugwy",1948,Landscape,58.5,88.5,5177.25,oil on canvas,OYM,944,513,0.5434
112.jpg,112,Fferm Fynydd Hill Farm (recto),n.d.,Landscape,75.5,151.5,11438.25,oil on canvas,Gwynedd Council Collection,944,476,0.5042
113.jpg,113,Fferm Fynydd Hill Farm (verso),n.d.,Landscape,75.5,151.5,11438.25,oil on canvas,Gwynedd Council Collection,944,476,0.5042
114.jpg,114,Ffridd Llwyn Gorful,1970,Landscape,62,88,5456,oil on canvas,NLW,944,629,0.6663
115.jpg,115,Figure and Mountains (verso),n.d.,Landscape,57.3,126,7219.8,oil on canvas,NMGW,800,351,0.4388
116.jpg,116,Fred Uhlman (1901-1985),1960,Portrait,61,51,3111,oil on canvas,NLW,772,944,1.2228
117.jpg,117,Fresians in a Field with the Coast Beyond,1940-1950,Landscape,51,68.5,3493.5,oil on canvas,NLW,944,708,0.75
118.jpg,118,"Fusilier Dean (The Depot, Wrexham, 1948)",1948,Portrait,88,75,6600,oil on canvas,RWFRM,799,944,1.1815
119.jpg,119,"Gardener at work, near a Church",1940-1950,Landscape,40,32.9,1316,oil on canvas,NLW,765,944,1.234
120.jpg,120,German Girl,1963,Portrait,61,51,3111,oil on canvas,RAA,772,944,1.2228
121.jpg,121,Girl Guide 1,1990-2006,Portrait,76.1,76.2,5798.82,oil on canvas,NLW,944,917,0.9714
122.jpg,122,Girl Guide 2,1990-2006,Portrait,76.5,76.5,5852.25,oil on canvas,NLW,929,944,1.0161
123.jpg,123,"Giudecca, Venice",1950-1970,Landscape,76,63.1,4795.6,oil on canvas,NLW,944,764,0.8093
124.jpg,124,Golfer Resting,1940-1950,Genre,20.3,26.7,542.01,oil on board,NLW,944,728,0.7712
125.jpg,125,"Green Fields and Grey Mountains, Snowdonia",1970-1990,Landscape,76.3,76.3,5821.69,oil on canvas,NLW,932,944,1.0129
126.jpg,126,Green Mountain Landscape,1950-1970,Landscape,40.8,51,2080.8,oil on canvas,NLW,944,778,0.8242
127.jpg,127,Green Trees and Fields Beneath a Dark Mountain,1950-1970,Landscape,51,61,3111,oil on canvas,NLW,944,780,0.8263
128.jpg,128,Grey Cloud and Sun over the Mountains,1970-1990,Landscape,50.8,68.5,3479.8,oil on canvas,NLW,944,697,0.7383
129.jpg,129,Grey Sky and Dark Moutnains,1960-1970,Landscape,50.5,60.7,3065.35,oil on canvas,NLW,944,798,0.8453
130.jpg,130,Gyrn Las,1990-2006,Landscape,50.3,76.2,3832.86,oil on canvas,NLW,944,645,0.6833
131.jpg,131,Hamlet in the Trees,1970-1990,Landscape,61.2,77,4712.4,oil on canvas,NLW,944,769,0.8146
132.jpg,132,Hamlet on the Horizon,1970-1980,Landscape,40.5,50.7,2053.35,oil on canvas,NLW,944,754,0.7987
133.jpg,133,Hampstead Heath,1940-1950,Landscape,18.2,34.1,620.62,oil on cardboard,NLW,944,500,0.5297
134.jpg,134,"Henry Roberts, Bryngwyn, Patagonia",1969,Landscape,120.5,120.5,14520.25,oil on canvas,NLW,942,944,1.0021
135.jpg,135,Henry Roberts o Hafotty (1888-1960),n.d.,Portrait,68.5,50.5,3459.25,oil on canvas,NLW,695,944,1.3583
136.jpg,136,Hermon,n.d.,Landscape,91,91,8281,oil on canvas,OYM,944,944,1
137.jpg,137,Highgate Schoolboy,1953,Portrait,92,50.6,4655.2,oil on canvas,Glynn Vivian Art Gallery,516,944,1.8295
138.jpg,138,Highgate West Hill,n.d.,Landscape,45,55,2475,oil on canvas,Highgate Literary & Scientific Institute,944,765,0.8104
139.jpg,139,Hill Farm in Merioneth,during or before 1958,Landscape,51,112,5712,oil on canvas,Herbert Art Gallery and Museum,944,425,0.4502
140.jpg,140,Hill Farmers,n.d.,Landscape,91.5,137,12535.5,oil on canvas,Bodelwyddan Castle Trust,944,703,0.7447
141.jpg,141,Hills above nant Peris,n.d.,Landscape,94.4,125,11800,oil on canvas,BU,944,719,0.7617
142.jpg,142,Hillside Cottages,1960-1970,Landscape,50.5,50.6,2555.3,oil on canvas,NLW,925,944,1.0205
143.jpg,143,Hillside with Sheep Farmer and Dog,n.d.,Landscape,74.5,125.2,9327.4,oil on canvas,BU,944,579,0.6133
144.jpg,144,Hillside with Trees on the Horizon,1960-1970,Landscape,71.2,91.2,6493.44,oil on canvas,NLW,944,751,0.7956
145.jpg,145,Horses and Riders,1940-1950,Genre,21.6,45.6,984.96,oil on hardboard,NLW,944,444,0.4703
146.jpg,146,Hugh Rowalnds,1990-2006,Portrait,50.7,61,3092.7,oil on canvas,NLW,944,787,0.8337
147.jpg,147,"Hugh Thomas, Portrait of a Farmer",1950,Portrait,59.5,49.5,2945.25,oil on canvas,BU,812,944,1.1626
148.jpg,148,Huw T. Edwrds,1960,Portrait,91.5,71,6496.5,oil on canvas,NMGW,618,800,1.2945
149.jpg,149,Italian Ruins,1950,Landscape,26.3,40.8,1073.04,oil on canvas,NLW,944,603,0.6388
150.jpg,150,Jack Jones,1959,Portrait,58.2,45.7,2659.74,oil on canvas,Glynn Vivian Art Gallery,743,944,1.2705
151.jpg,151,Jack Raymond Jones,1969,Portrait,90.5,55,4977.5,oil on canvas,NLW,561,944,1.6827
152.jpg,152,John Dafydd Evans (1900-1984),1945,Portrait,25.5,36.5,930.75,oil on board,NLW,944,718,0.7606
153.jpg,153,Keith Andrew (b.1947),1980s,Portrait,74.5,74.5,5550.25,oil on canvas,NLW,922,944,1.0239
154.jpg,154,Landscape at Llanaelhaearn,1947,Landscape,51.1,61,3117.1,oil on canvas,Arts Council Collection,800,664,0.83
155.jpg,155,Landscape with Cattle,1950,Landscape,29,40,1160,oil on canvas,NLW,944,699,0.7405
156.jpg,156,Llandonna,n.d.,Landscape,89,119.5,10635.5,oil on canvas,BBC,944,707,0.7489
157.jpg,157,Llanerchymedd Mill,1955,Landscape,52,69.5,3614,oil on canvas,OYM,944,688,0.7288
158.jpg,158,"Lle Cul, Patagonia",1969,Landscape,89.5,89.5,8010.25,oil on canvas,NLW,944,938,0.9936
159.jpg,159,"Lle Cul, Patagonia",1969,Landscape,92,122,11224,oil on canvas,NLW,944,712,0.7542
160.jpg,160,"Lle Cul, Patagonia",1969,Landscape,49.5,60,2970,oil on canvas,NLW,944,787,0.8337
161.jpg,161,"Lle Cul, Patagonia",1969,Landscape,49.9,60,2994,oil on canvas,NLW,944,789,0.8358
162.jpg,162,Lliwedd,1978,Landscape,91,91,8281,oil on canvas,OYM,906,944,1.0419
163.jpg,163,Llyn Conwy,1996,Landscape,54,131,7074,oil on canvas,NLW,944,466,0.4936
164.jpg,164,"Llyn-y-Cau, Cader Idris",1950 or before,Landscape,37.3,75.3,2808.69,oil on canvas,NLW,944,464,0.4915
165.jpg,165,"Llyn-y-Cau, Cader Idris",1990,Landscape,120,120,14400,oil on canvas,NLW,938,944,1.0064
166.jpg,166,Lone Cottage,1990-2006,Landscape,50.7,76.2,3863.34,oil on canvas,NLW,944,630,0.6674
167.jpg,167,Lowlight Eryri,1970-1990,Landscape,76,76,5776,oil on canvas,NLW,944,939,0.9947
168.jpg,168,Mackerel,1988,Still life,104,68.5,7124,oil on canvas,NLW,564,944,1.6738
169.jpg,169,Male Nude,1940-1950,Study,35.5,25.3,898.15,oil on board,NLW,690,944,1.3681
170.jpg,170,Man and Horse in the Desert,1970,Landscape,90.2,98,8839.6,oil on canvas,NLW,929,944,1.0161
171.jpg,171,"Marie Levy, nee Wooler",1960,Portrait,60,50,3000,oil on canvas,NLW,743,944,1.2705
172.jpg,172,Mary,1950s,Portrait,61,51,3111,oil on canvas,NMGW,660,800,1.2121
173.jpg,173,"Meadows, Mist and Mountains",1970-1990,Landscape,45.6,55.5,2530.8,oil on canvas,NLW,944,777,0.8231
174.jpg,174,Michelle,1950-1970,Portrait,60.5,50.5,3055.25,oil on canvas,NLW,792,944,1.1919
175.jpg,175,Miss Josling,1960,Portrait,30.5,20.5,625.25,oil on board,OYM,667,944,1.4153
176.jpg,176,Miss Parry,1979,Portrait,110,49.2,5412,oil on canvas,NLW,416,944,2.2692
177.jpg,177,Mist on the Mountains,1960-1970,Landscape,55.5,76,4218,oil on canvas,NLW,944,699,0.7405
178.jpg,178,Moel Hebog,1952,Landscape,25.4,35.5,901.7,oil on board,NLW,800,571,0.7138
179.jpg,179,Moelfre,n.d.,Landscape,50.5,68,3434,oil on canvas,OYM,944,694,0.7352
180.jpg,180,Moelwyn Bach,1960,Landscape,92.2,122.5,11294.5,oil on canvas,OYM,944,590,0.625
181.jpg,181,Moelwyn Back from Tanygrisiau,1960-1970,Landscape,50.5,68,3434,oil on canvas,NLW,944,704,0.7458
182.jpg,182,Mont Blanc,1950-1960,Landscape,21.4,37.6,804.64,oil on hardboard,NLW,944,526,0.5572
183.jpg,183,Moonlight above Gwynant,1990-2006,Landscape,121.9,121.9,14859.61,oil on canvas,NLW,944,941,0.9968
184.jpg,184,Mountain Landscape,1987 or before,Landscape,12,12.5,150,oil on canvas,NLW,944,936,0.9915
185.jpg,185,Mountain Landscape,1957,Landscape,44.5,55,2447.5,oil on canvas,Merthyr Tydfil Museum Service,944,764,0.8093
186.jpg,186,Mountain Landscape with High Sun,1970-1980,Landscape,76.3,76.2,5814.06,oil on canvas,NLW,934,944,1.0107
187.jpg,187,Mountain Landscape with Trees and a Field in the Foreground,1960-1980,Landscape,50.5,76.5,3863.25,oil on canvas,NLW,944,634,0.6716
188.jpg,188,Mountain Stream with Trees,1970-1990,Landscape,55.5,68,3774,oil on canvas,NLW,944,783,0.8294
189.jpg,189,Mountain Summit with Low Cloud,1960-1970,Landscape,71,91.5,6496.5,oil on canvas,NLW,944,732,0.7754
190.jpg,190,"Mountain Summits, Snowdonia",1960-1970,Landscape,50.2,91.3,4583.26,oil on canvas,NLW,944,527,0.5583
191.jpg,191,Mountain Torrent,1940-1950,Landscape,40.7,51,2075.7,oil on canvas,NLW,944,760,0.8051
192.jpg,192,Mountain Valley,1940-1950,Landscape,12,33.6,403.2,oil on board,NLW,944,347,0.3676
193.jpg,193,Mountain Valley,1940-1950,Landscape,51,68.7,3503.7,oil on canvas,NLW,944,714,0.7564
194.jpg,194,Mountain Valley Cottages,1990-2006,Landscape,71.2,91.5,6514.8,oil on canvas,NLW,944,745,0.7892
195.jpg,195,Mountainous Landscape,n.d.,Landscape,21,37,777,oil on board,Glynn Vivian Art Gallery,944,551,0.5837
196.jpg,196,Mountains and Rocks,1950-1960,Landscape,40.5,50.7,2053.35,oil on canvas,NLW,944,776,0.822
197.jpg,197,"Mountains, Eryri, with Cloud",1970-1990,Landscape,90.7,91.5,8299.05,oil on canvas,NLW,944,936,0.9915
198.jpg,198,"Mountains, North Wales",1950-1970,Landscape,76,63.1,4795.6,oil on canvas,NLW,794,944,1.1889
199.jpg,199,"Mountains, Snowdonia",1960-1980,Landscape,60.7,76.1,4619.27,oil on canvas,NLW,944,758,0.803
200.jpg,200,"Mountains, Snowdonia",1950-1960,Landscape,50.7,68.5,3472.95,oil on canvas,NLW,944,713,0.7553
201.jpg,201,Mountains with Blue Sky,1970-1990,Landscape,56,76.2,4267.2,oil on canvas,NLW,944,707,0.7489
202.jpg,202,Mrs Rowlands,1984,Portrait,126,76.5,9639,oil on canvas,OYM,571,944,1.6532
203.jpg,203,"Mynydd Bodafon, Anglesey",n.d.,Landscape,57,67,3819,oil on canvas,Hereford Museum and Art Gallery,800,635,0.7938
204.jpg,204,Mynydd Mawr a'r Wyddfa,1970-1990,Landscape,61,91.5,5581.5,oil on canvas,NLW,944,629,0.6663
205.jpg,205,Nant Ffrancon,1960-1970,Landscape,76,127.4,9682.4,oil on canvas,NLW,944,562,0.5953
206.jpg,206,Nant Ffrancon from Llandegfan,1960,Landscape,30.8,76.4,2353.12,oil on canvas,GAC,944,363,0.3845
207.jpg,207,Near Capel Curig,1960-1980,Landscape,50.5,60.8,3070.4,oil on canvas,NLW,944,794,0.8411
208.jpg,208,Nun at a Crucifix,1950-1960,Portrait,76.8,61.5,4723.2,oil on canvas,NLW,756,944,1.2487
209.jpg,209,"Paith, Patagonia",1969,Landscape,51,68.7,3503.7,oil on canvas,NLW,944,721,0.7638
210.jpg,210,Patagonian Landscape,1969,Landscape,65,65,4225,oil on canvas,NLW,944,944,1
211.jpg,211,Path below Crib Goch,1970-1980,Landscape,76,76,5776,oil on canvas,NLW,933,944,1.0118
212.jpg,212,"Pen Carmen, Ty Ddewi",n.d.,Landscape,57.3,126,7219.8,oil on canvas,NMGW,800,371,0.4638
213.jpg,213,"Pencamedd, Llansadwrn",n.d.,Landscape,58,79,4582,oil on canvas,NLW,800,593,0.7412
214.jpg,214,Pengwyryd,1999,Landscape,120,120,14400,oil on canvas,NLW,939,944,1.0053
215.jpg,215,Penmon Coast and Ynys Seriol,1960-1980,Landscape,55.3,91.5,5059.95,oil on canvas,NLW,944,577,0.6112
216.jpg,216,Penmon Cross,n.d.,Landscape,77.5,39.5,3061.25,oil on canvas,OYM,385,944,2.4519
217.jpg,217,Pentrepella,1970s,Landscape,76.6,178,13634.8,oil on canvas,NLW,944,402,0.4258
218.jpg,218,Pilot Boat off Moelfre,1947,Landscape,38.5,74.5,2868.25,oil on canvas,OYM,944,613,0.6494
219.jpg,219,Plucked Chicken,1950-1970,Still life,102,56.5,5763,oil on canvas,NLW,523,944,1.805
220.jpg,220,Ponies at Betws Garmon,n.d.,Landscape,89.5,119.6,10704.2,oil on canvas,BU,944,728,0.7712
221.jpg,221,Ponies at Dusk,1960-1970,Landscape,55.8,91.3,5094.54,oil on canvas,NLW,944,581,0.6155
222.jpg,222,Ponies on a Sea Cliff,1990-2006,Landscape,76.1,76,5783.6,oil on canvas,NLW,939,944,1.0053
223.jpg,223,Pony on Llanddwyn Island,n.d.,Landscape,72.3,87.3,6311.79,oil on canvas,Derbyshire and Derby School Library Service,800,638,0.7975
